ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent
09161,Ingolstadt,Bayern,09,132438,66825,65613,15633,5933,9700,11.8,8.9,14.8
09162,München,Bayern,09,1450381,707150,743231,157311,64658,92653,10.8,9.1,12.5
09163,Rosenheim,Bayern,09,61844,30273,31571,9664,3805,5859,15.6,12.6,18.6
09171,Altötting,Bayern,09,108485,53369,55116,11790,4063,7727,10.9,7.6,14.0
09172,Berchtesgadener Land,Bayern,09,103907,50897,53010,10601,3766,6835,10.2,7.4,12.9
09173,Bad Tölz-Wolfratshausen,Bayern,09,124930,61462,63468,13221,4916,8305,10.6,8.0,13.1
09174,Dachau,Bayern,09,149370,74745,74625,16105,6708,9397,10.8,9.0,12.6
09175,Ebersberg,Bayern,09,137421,68564,68857,12735,4974,7761,9.3,7.3,11.3
09176,Eichstätt,Bayern,09,128805,65284,63521,11139,4113,7026,8.6,6.3,11.1
09177,Erding,Bayern,09,133747,67321,66426,14476,6259,8217,10.8,9.3,12.4
09178,Freising,Bayern,09,173225,88149,85076,16794,6708,10086,9.7,7.6,11.9
09179,Fürstenfeldbruck,Bayern,09,213481,104273,109208,18762,7426,11336,8.8,7.1,10.4
09180,Garmisch-Partenkirchen,Bayern,09,87385,42370,45015,9419,3335,6084,10.8,7.9,13.5
09181,Landsberg am Lech,Bayern,09,117657,58888,58769,11448,4230,7218,9.7,7.2,12.3
09182,Miesbach,Bayern,09,98286,48065,50221,10925,3766,7159,11.1,7.8,14.3
09183,Mühldorf a.Inn,Bayern,09,112034,56499,55535,11340,4115,7225,10.1,7.3,13.0
09184,München,Bayern,09,340003,168380,171623,41373,17784,23589,12.2,10.6,13.7
09185,Neuburg-Schrobenhausen,Bayern,09,94654,47580,47074,9512,3528,5984,10.0,7.4,12.7
09186,Pfaffenhofen a.d.Ilm,Bayern,09,124128,63325,60803,10508,3883,6625,8.5,6.1,10.9
09187,Rosenheim,Bayern,09,256074,126896,129178,26360,9553,16807,10.3,7.5,13.0
09188,Starnberg,Bayern,09,133621,64772,68849,13340,4892,8448,10.0,7.6,12.3
09189,Traunstein,Bayern,09,174162,85999,88163,18293,6390,11903,10.5,7.4,13.5
09190,Weilheim-Schongau,Bayern,09,132906,65974,66932,15885,6155,9730,12.0,9.3,14.5
09261,Landshut,Bayern,09,69211,33513,35698,11652,4486,7166,16.8,13.4,20.1
09262,Passau,Bayern,09,50566,23945,26621,9648,3378,6270,19.1,14.1,23.6
09263,Straubing,Bayern,09,46806,23519,23287,6578,2366,4212,14.1,10.1,18.1
09271,Deggendorf,Bayern,09,116596,57851,58745,12602,4125,8477,10.8,7.1,14.4
09272,Freyung-Grafenau,Bayern,09,78122,38921,39201,7760,2188,5572,9.9,5.6,14.2
09273,Kelheim,Bayern,09,118965,60306,58659,11746,3956,7790,9.9,6.6,13.3
09274,Landshut,Bayern,09,154577,78468,76109,15326,6066,9260,9.9,7.7,12.2
09275,Passau,Bayern,09,188336,93347,94989,18223,5917,12306,9.7,6.3,13.0
09276,Regen,Bayern,09,76812,38402,38410,7373,2107,5266,9.6,5.5,13.7
09277,Rottal-Inn,Bayern,09,119218,59402,59816,12174,4043,8131,10.2,6.8,13.6
09278,Straubing-Bogen,Bayern,09,98806,49683,49123,8285,2875,5410,8.4,5.8,11.0
09279,Dingolfing-Landau,Bayern,09,94104,48369,45735,14190,5349,8841,15.1,11.1,19.3
09361,Amberg,Bayern,09,41861,20571,21290,5493,1977,3516,13.1,9.6,16.5
09362,Regensburg,Bayern,09,145465,69969,75496,26374,10259,16115,18.1,14.7,21.3
09363,Weiden i.d.OPf.,Bayern,09,42055,20052,22003,8480,3013,5467,20.2,15.0,24.8
09371,Amberg-Sulzbach,Bayern,09,103568,51767,51801,7971,2707,5264,7.7,5.2,10.2
09372,Cham,Bayern,09,126359,63117,63242,12740,3915,8825,10.1,6.2,14.0
09373,Neumarkt i.d.OPf.,Bayern,09,130385,65671,64714,12141,4081,8060,9.3,6.2,12.5
09374,Neustadt a.d.Waldnaab,Bayern,09,95078,47226,47852,7114,2524,4590,7.5,5.3,9.6
09375,Regensburg,Bayern,09,189390,94531,94859,15212,5571,9641,8.0,5.9,10.2
09376,Schwandorf,Bayern,09,144864,72784,72080,13451,4773,8678,9.3,6.6,12.0
09377,Tirschenreuth,Bayern,09,73314,36426,36888,5668,1873,3795,7.7,5.1,10.3
09461,Bamberg,Bayern,09,73331,34767,38564,14883,4635,10248,20.3,13.3,26.6
09462,Bayreuth,Bayern,09,72148,34850,37298,11502,4917,6585,15.9,14.1,17.7
09463,Coburg,Bayern,09,41257,20004,21253,4692,1966,2726,11.4,9.8,12.8
09464,Hof,Bayern,09,44660,21342,23318,5705,2228,3477,12.8,10.4,14.9
09471,Bamberg,Bayern,09,145570,72906,72664,11939,4226,7713,8.2,5.8,10.6
09472,Bayreuth,Bayern,09,104306,51516,52790,6910,2451,4459,6.6,4.8,8.4
09473,Coburg,Bayern,09,86599,42781,43818,5674,2221,3453,6.6,5.2,7.9
09474,Forchheim,Bayern,09,114834,56865,57969,9833,3567,6266,8.6,6.3,10.8
09475,Hof,Bayern,09,96429,47008,49421,6279,2317,3962,6.5,4.9,8.0
09476,Kronach,Bayern,09,67916,33475,34441,5556,2053,3503,8.2,6.1,10.2
09477,Kulmbach,Bayern,09,72468,35503,36965,6115,2239,3876,8.4,6.3,10.5
09478,Lichtenfels,Bayern,09,66655,32817,33838,5947,2050,3897,8.9,6.2,11.5
09479,Wunsiedel i.Fichtelgebirge,Bayern,09,73185,35470,37715,5456,1882,3574,7.5,5.3,9.5
09561,Ansbach,Bayern,09,41159,19778,21381,5692,2091,3601,13.8,10.6,16.8
09562,Erlangen,Bayern,09,108336,53454,54882,13456,5548,7908,12.4,10.4,14.4
09563,Fürth,Bayern,09,124171,60669,63502,9895,4030,5865,8.0,6.6,9.2
09564,Nürnberg,Bayern,09,509975,247931,262044,59669,24049,35620,11.7,9.7,13.6
09565,Schwabach,Bayern,09,40428,19710,20718,3832,1486,2346,9.5,7.5,11.3
09571,Ansbach,Bayern,09,181314,90933,90381,15408,5668,9740,8.5,6.2,10.8
09572,Erlangen-Höchstadt,Bayern,09,134136,66722,67414,9512,3517,5995,7.1,5.3,8.9
09573,Fürth,Bayern,09,114291,55381,58910,7485,2575,4910,6.5,4.6,8.3
09574,Nürnberger Land,Bayern,09,167643,82530,85113,15034,5568,9466,9.0,6.7,11.1
09575,Neustadt a.d.Aisch-Bad Windsh.,Bayern,09,98751,49217,49534,9427,3361,6066,9.5,6.8,12.2
09576,Roth,Bayern,09,125140,62231,62909,10371,3872,6499,8.3,6.2,10.3
09577,Weißenburg-Gunzenhausen,Bayern,09,93342,46525,46817,9275,3413,5862,9.9,7.3,12.5
09661,Aschaffenburg,Bayern,09,68986,33288,35698,10991,4261,6730,15.9,12.8,18.9
09662,Schweinfurt,Bayern,09,51969,25160,26809,7294,2570,4724,14.0,10.2,17.6
09663,Würzburg,Bayern,09,124873,59159,65714,22791,9073,13718,18.3,15.3,20.9
09671,Aschaffenburg,Bayern,09,173695,86543,87152,17342,7065,10277,10.0,8.2,11.8
09672,Bad Kissingen,Bayern,09,103106,50623,52483,10782,3980,6802,10.5,7.9,13.0
09673,Rhön-Grabfeld,Bayern,09,79723,39540,40183,7192,2627,4565,9.0,6.6,11.4
09674,Haßberge,Bayern,09,84581,42412,42169,9985,3684,6301,11.8,8.7,14.9
09675,Kitzingen,Bayern,09,89306,44796,44510,9386,3484,5902,10.5,7.8,13.3
09676,Miltenberg,Bayern,09,128446,64062,64384,14011,5153,8858,10.9,8.0,13.8
09677,Main-Spessart,Bayern,09,126123,62856,63267,12318,4438,7880,9.8,7.1,12.5
09678,Schweinfurt,Bayern,09,114813,57406,57407,8419,3202,5217,7.3,5.6,9.1
09679,Würzburg,Bayern,09,160427,79757,80670,13868,5316,8552,8.6,6.7,10.6
09761,Augsburg,Bayern,09,286374,140323,146051,37950,15429,22521,13.3,11.0,15.4
09762,Kaufbeuren,Bayern,09,42731,20999,21732,4345,1543,2802,10.2,7.3,12.9
09763,Kempten (Allgäu),Bayern,09,66947,33106,33841,10776,4180,6596,16.1,12.6,19.5
09764,Memmingen,Bayern,09,42841,21082,21759,6445,2300,4145,15.0,10.9,19.0
09771,Aichach-Friedberg,Bayern,09,130916,65241,65675,14043,5798,8245,10.7,8.9,12.6
09772,Augsburg,Bayern,09,245600,122030,123570,23531,9310,14221,9.6,7.6,11.5
09773,Dillingen a.d.Donau,Bayern,09,94575,47230,47345,9278,3557,5721,9.8,7.5,12.1
09774,Günzburg,Bayern,09,123153,62073,61080,13505,5329,8176,11.0,8.6,13.4
09775,Neu-Ulm,Bayern,09,170309,84606,85703,17567,6667,10900,10.3,7.9,12.7
09776,Lindau (Bodensee),Bayern,09,80429,39550,40879,8331,2985,5346,10.4,7.5,13.1
09777,Ostallgäu,Bayern,09,137709,68750,68959,13912,5118,8794,10.1,7.4,12.8
09778,Unterallgäu,Bayern,09,140419,70572,69847,14537,5499,9038,10.4,7.8,12.9
09779,Donau-Ries,Bayern,09,131345,66381,64964,15072,5701,9371,11.5,8.6,14.4
09780,Oberallgäu,Bayern,09,152672,75342,77330,17536,6798,10738,11.5,9.0,13.9
